TEIL;MAX;MIN;AVG;FAILURE
TEIL:A;00-08:04:25;0:05:47;1:12:17.195652;0.036444444444444446
TEIL:B;29-01:38:57;0:03:18;4:40:46.214047;0.02503166006520626
TEIL:C;08-02:27:59;0:00:49;3:58:36.936027;0.007294394271362155
TEIL:D;03-17:40:08;0:03:16;1:45:59.138790;0.014809873248832555
TEIL:E;49-00:23:44;0:03:41;12:32:37.974790;0.006466205428419372
TEIL:F;02-23:15:50;0:03:01;2:18:37.714286;0.0050540212990897605
TEIL:G;05-08:30:58;0:00:23;2:39:10.683616;0.007773131767985418
TEIL:H;04-04:15:01;0:03:33;3:06:54.121528;0.012017792576021643
TEIL:I;16-32:22;0:00:26;0:51:00.378505;0.008525434642627174
TEIL:K;03-17:11:38;0:03:50;3:46:09.016575;0.015535963874852166
