TEIL;FA;COUNT;MIN;MAX;AVG
A;009281;83;242.0;1487.0;391.41
A;009282;80;253.0;1886.0;402.94
A;009287;81;270.0;2775.0;520.44
A;009184;80;283.0;2247.0;715.36
A;008630;85;301.0;2740.0;442.29
A;009284;80;266.0;3595.0;620.72
A;009475;80;271.0;3086.0;628.99
A;009006;78;278.0;2443.0;595.64
A;009004;84;297.0;2095.0;585.21
A;009283;80;254.0;3132.0;465.01
A;009182;79;287.0;1559.0;398.0
A;009576;80;274.0;2470.0;369.38
A;008631;81;303.0;1928.0;562.36
A;009183;78;281.0;2170.0;619.31
A;009286;80;267.0;816.0;361.31
A;009472;80;276.0;3005.0;485.65
A;009005;80;264.0;2709.0;767.08
A;009473;80;277.0;2660.0;572.38
A;009280;80;277.0;1052.0;448.92
A;009285;82;265.0;3214.0;763.94
A;008632;80;261.0;2632.0;615.31
A;008419;87;316.0;3310.0;1022.63
A;008633;73;266.0;3091.0;690.7
A;009575;80;310.0;1785.0;561.88
A;009574;80;310.0;2488.0;588.67
A;008996;65;293.0;2438.0;591.0
A;009185;80;287.0;1122.0;434.29
A;009474;79;273.0;2567.0;450.62
E;006691;100;355.0;2160.0;614.91
E;007337;100;363.0;948.0;459.15
E;006850;100;358.0;2863.0;616.45
E;005709;100;366.0;2004.0;525.8
E;006315;100;293.0;2092.0;507.16
E;008354;98;305.0;3077.0;462.51
E;009604;100;318.0;2483.0;447.81
E;008024;100;306.0;3059.0;484.02
E;009608;100;300.0;1542.0;426.72
E;008455;100;308.0;2218.0;461.54
E;008561;103;293.0;2314.0;570.25
E;005942;100;350.0;2484.0;535.13
E;006099;100;333.0;2722.0;493.1
E;009214;100;303.0;1566.0;437.69
E;009216;100;311.0;1007.0;389.58
E;007764;100;355.0;2915.0;512.46
E;007112;100;349.0;1654.0;509.59
E;009505;101;308.0;973.0;398.34
E;007335;100;314.0;3017.0;523.01
E;006924;100;292.0;2516.0;553.6
E;008251;100;315.0;1474.0;408.85
E;008560;100;305.0;828.0;374.08
E;007880;99;303.0;2769.0;566.73
E;008834;98;309.0;2715.0;451.78
E;006685;100;320.0;3429.0;607.79
E;008356;98;305.0;2166.0;504.9
E;007113;100;347.0;3091.0;584.34
E;007340;100;314.0;3053.0;529.68
E;006984;100;322.0;1468.0;432.58
E;007252;100;315.0;1954.0;462.57
E;007767;100;329.0;1558.0;465.24
E;006557;100;323.0;2216.0;498.62
E;007420;100;315.0;1728.0;452.41
E;007878;100;334.0;3229.0;647.34
E;008110;100;305.0;2450.0;458.67
E;009040;100;306.0;2571.0;443.0
E;005785;102;359.0;2961.0;595.17
E;006479;100;313.0;3205.0;462.36
E;008925;100;317.0;2609.0;473.87
E;007255;100;297.0;1542.0;512.08
E;008828;101;315.0;2600.0;486.62
E;009602;100;315.0;861.0;356.64
E;005706;95;358.0;3075.0;604.99
E;009120;100;304.0;2942.0;534.5
E;008184;100;293.0;2140.0;471.7
E;007181;100;314.0;1724.0;402.67
E;008358;98;304.0;902.0;375.44
E;006650;100;285.0;1032.0;434.7
E;006766;99;338.0;2966.0;584.46
E;008830;100;302.0;1270.0;406.98
E;007585;100;324.0;1958.0;443.17
E;006649;100;325.0;2310.0;528.75
E;009035;100;317.0;2581.0;457.4
E;008655;100;309.0;3516.0;506.75
E;007670;100;314.0;2453.0;458.4
E;007672;100;314.0;2393.0;473.85
E;007174;100;348.0;3568.0;669.88
E;008654;100;309.0;1401.0;472.14
E;006480;100;312.0;2271.0;617.05
E;006983;100;321.0;2529.0;443.06
E;009219;100;313.0;1553.0;443.17
E;009603;100;309.0;1772.0;452.21
E;007677;100;303.0;1001.0;386.84
E;006559;100;315.0;2892.0;568.91
E;008566;100;296.0;1888.0;499.25
E;008653;100;309.0;923.0;374.06
E;006921;100;313.0;762.0;379.22
E;005710;99;361.0;3010.0;614.9
E;009314;100;304.0;618.0;352.92
E;006016;100;365.0;3108.0;699.29
E;007041;100;311.0;2645.0;438.6
E;008563;100;307.0;1753.0;463.71
E;007175;100;324.0;2045.0;444.08
E;008562;101;316.0;2815.0;491.71
E;005943;100;373.0;1848.0;515.03
E;006771;100;337.0;3213.0;534.96
E;007044;100;311.0;1478.0;458.48
E;007499;100;326.0;1323.0;398.89
E;009507;100;291.0;2408.0;479.44
E;006619;100;316.0;2684.0;546.24
E;008732;99;310.0;1210.0;412.07
E;006170;100;335.0;2042.0;552.01
E;008451;99;313.0;2800.0;491.15
E;007936;100;305.0;1378.0;387.56
E;006690;100;326.0;3393.0;565.88
E;007338;100;336.0;2531.0;560.65
E;006852;101;338.0;3576.0;501.66
E;006849;100;347.0;2190.0;566.58
E;006243;99;356.0;1398.0;471.13
E;006176;100;338.0;1981.0;505.73
E;008735;100;322.0;2577.0;456.18
E;007046;100;336.0;3559.0;527.83
E;006172;100;335.0;3351.0;590.59
E;008181;100;311.0;1496.0;438.69
E;006092;99;335.0;2547.0;598.66
E;008109;100;306.0;2651.0;460.62
E;006021;100;337.0;868.0;451.08
E;008833;100;312.0;1735.0;439.53
E;005791;100;348.0;2865.0;575.5
E;009122;99;299.0;1488.0;452.95
E;008652;100;320.0;2776.0;498.99
E;008252;100;312.0;2706.0;436.3
E;008028;100;302.0;2689.0;459.11
E;008564;100;318.0;2273.0;444.66
E;008113;100;310.0;2830.0;453.52
E;006688;100;299.0;1998.0;517.0
E;008352;98;320.0;3542.0;465.26
E;009211;101;267.0;2451.0;459.99
E;006770;100;336.0;3255.0;533.35
E;007115;100;348.0;3393.0;636.32
E;007180;100;314.0;3071.0;605.15
E;008827;99;315.0;2011.0;425.26
E;009696;99;298.0;2672.0;470.01
E;007933;100;314.0;2137.0;440.29
E;009038;100;315.0;1687.0;423.73
E;008108;100;316.0;1605.0;422.89
E;009041;101;297.0;1723.0;445.47
E;007500;100;313.0;2859.0;503.4
E;005859;100;352.0;2970.0;624.51
E;009409;100;312.0;2292.0;453.06
E;006555;100;314.0;2053.0;463.67
E;007587;100;314.0;1336.0;386.7
E;009119;99;316.0;1514.0;409.37
E;006018;100;333.0;1595.0;466.04
E;009033;100;311.0;2423.0;436.31
E;008928;100;285.0;2689.0;466.73
E;007415;100;328.0;2101.0;490.75
E;008558;200;296.0;3335.0;525.3
E;007588;100;324.0;1721.0;440.54
E;007177;100;308.0;2545.0;497.27
E;006621;100;288.0;2073.0;450.7
E;007258;100;322.0;1419.0;443.94
E;007879;100;342.0;3405.0;621.39
E;009504;98;268.0;3235.0;495.51
E;006174;100;340.0;1778.0;512.88
E;005862;100;347.0;1739.0;503.48
E;009407;100;309.0;3184.0;496.02
E;008253;100;281.0;2075.0;478.14
E;009607;100;310.0;2658.0;455.21
E;007583;101;312.0;2802.0;491.39
E;009606;100;309.0;3384.0;483.06
E;006390;100;315.0;2211.0;431.78
E;005787;100;356.0;2699.0;667.21
E;009402;100;316.0;1967.0;420.32
E;007111;100;314.0;2876.0;494.04
E;007043;99;310.0;2676.0;432.08
E;007676;100;308.0;2650.0;498.73
E;006687;100;334.0;2922.0;507.49
E;008453;100;306.0;1480.0;405.83
E;009317;100;306.0;1606.0;412.25
E;007837;100;327.0;2982.0;659.11
E;006923;100;325.0;2196.0;431.05
E;008829;100;322.0;880.0;386.93
E;006173;100;339.0;3320.0;547.07
E;005789;100;362.0;1850.0;487.02
E;005860;100;347.0;2025.0;617.9
E;009313;100;299.0;2325.0;467.5
E;008259;100;319.0;1117.0;393.52
E;007253;100;317.0;1241.0;437.17
E;006767;60;320.0;1389.0;459.45
E;006392;100;317.0;1312.0;421.78
E;006391;100;300.0;2618.0;448.32
E;007502;100;292.0;3536.0;504.26
E;006906;40;317.0;3385.0;710.45
E;009691;100;314.0;2543.0;428.95
E;006848;100;337.0;2894.0;520.32
E;009124;100;300.0;2583.0;517.41
E;006558;100;323.0;2348.0;615.96
E;006319;100;304.0;1342.0;501.49
E;008832;100;300.0;1413.0;439.15
E;008929;98;308.0;1876.0;476.89
E;005944;100;394.0;2795.0;592.24
E;005941;100;349.0;1730.0;500.87
E;009039;100;306.0;2313.0;468.23
E;009692;100;311.0;1542.0;409.11
E;008565;100;316.0;1036.0;424.0
E;006854;100;334.0;3022.0;627.15
E;009121;100;303.0;1087.0;421.47
E;005708;100;359.0;2829.0;565.57
E;008106;101;314.0;2193.0;456.81
E;007496;100;308.0;2376.0;454.46
E;008733;100;312.0;2749.0;516.39
E;006094;99;331.0;3088.0;565.48
E;006620;100;333.0;866.0;416.06
E;006689;100;327.0;1149.0;440.05
E;008831;100;301.0;2605.0;483.99
E;009511;99;305.0;2932.0;439.26
E;006481;100;313.0;3098.0;500.65
E;007763;100;335.0;2878.0;495.38
E;007932;100;305.0;1436.0;429.18
