TEIL;LAGER;COUNT;MIN;MAX;AVG
C;000048216;101;417.0;2323.0;518.8
C;000042692;100;451.0;1887.0;584.54
C;000038596;100;526.0;2797.0;733.2
C;000052917;100;412.0;2047.0;484.32
C;000049374;100;428.0;2342.0;526.78
C;000033887;100;443.0;28264.0;1149.26
C;000048845;100;434.0;3067.0;628.16
C;000031528;100;386.0;6106.0;574.14
C;000028522;100;601.0;2684.0;812.21
C;000033685;100;422.0;200347.0;4671.03
C;000042700;99;451.0;2165.0;530.0
C;000034711;100;475.0;8716.0;767.49
C;000044669;100;423.0;201192.0;2551.69
C;000053438;100;418.0;1792.0;518.98
C;000030670;100;621.0;2690.0;865.54
C;000031294;99;321.0;1448.0;536.98
C;000038576;100;522.0;29347.0;971.98
C;000036377;103;500.0;25375.0;1129.16
C;000032745;100;419.0;25887.0;1081.73
C;000048848;101;432.0;25813.0;1009.15
C;000047506;99;396.0;2184.0;519.63
C;000053637;100;412.0;1851.0;492.53
C;000042707;100;456.0;3697.0;679.95
C;000044008;100;413.0;1699.0;510.66
C;000052551;100;397.0;2881.0;603.5
C;000039698;100;555.0;2042.0;656.92
C;000045202;99;426.0;2469.0;568.43
C;000053468;100;421.0;7455.0;872.62
C;000050147;99;437.0;2271.0;508.88
C;000032396;56;406.0;1879.0;579.64
C;000045554;97;433.0;26217.0;1237.57
C;000044905;100;430.0;2793.0;555.03
C;000053477;107;422.0;4572.0;570.59
C;000028199;100;602.0;1432.0;681.52
C;000047252;96;465.0;1021.0;538.35
C;000041990;100;435.0;1796.0;562.06
C;000043571;101;473.0;26424.0;1096.1
C;000033663;100;433.0;28611.0;1306.68
C;000053673;100;430.0;2856.0;596.0
C;000042804;101;464.0;2081.0;626.36
C;000038592;99;537.0;39497.0;1413.06
C;000028580;100;615.0;3426.0;858.78
C;000046740;100;450.0;3166.0;571.72
C;000043227;100;463.0;800.0;516.67
C;000036380;100;500.0;3296.0;650.46
C;000050823;100;368.0;2591.0;490.87
C;000035900;100;478.0;2717.0;666.0
C;000041606;100;425.0;905.0;489.08
C;000030960;100;380.0;3490.0;582.22
C;000034434;100;457.0;1964.0;619.75
C;000028282;100;598.0;25436.0;1303.75
C;000038177;100;524.0;4766.0;689.91
C;000029393;100;621.0;1213.0;689.86
C;000045147;107;433.0;1199.0;509.09
C;000040784;100;488.0;29281.0;1167.5
C;000039080;100;540.0;2977.0;741.85
C;000028842;100;608.0;3135.0;801.68
C;000034872;100;473.0;8451.0;949.53
C;000046059;96;453.0;27209.0;1184.92
C;000044200;99;425.0;1959.0;577.58
C;000033691;100;449.0;10518.0;985.52
C;000046401;96;458.0;1966.0;577.2
C;000030846;100;369.0;3370.0;549.75
C;000039105;99;539.0;207086.0;5015.45
C;000032781;100;412.0;2408.0;543.25
C;000047474;100;403.0;923.0;452.15
C;000042967;99;473.0;27872.0;1170.94
C;000052979;100;407.0;25085.0;1050.59
C;000041106;100;418.0;1128.0;503.41
C;000037093;100;514.0;3118.0;702.75
C;000031002;100;373.0;1606.0;441.87
C;000041961;100;446.0;199452.0;4533.36
C;000032349;100;420.0;2359.0;522.06
C;000037723;100;527.0;1304.0;603.09
C;000051773;100;399.0;3535.0;556.99
C;000033110;100;401.0;27843.0;926.7
C;000049004;100;429.0;2453.0;530.52
C;000047847;100;411.0;3294.0;559.88
C;000049345;100;426.0;1493.0;543.86
C;000052090;100;391.0;2090.0;503.24
C;000049689;100;425.0;1048.0;496.23
C;000049179;100;426.0;2252.0;565.71
C;000029706;100;616.0;3313.0;776.66
C;000029363;100;615.0;2605.0;773.04
C;000047277;98;468.0;2477.0;549.12
C;000028848;100;612.0;2714.0;753.27
C;000029359;100;615.0;2383.0;793.99
C;000033935;100;454.0;25195.0;1085.21
C;000032036;100;394.0;3174.0;566.33
C;000029724;100;625.0;3600.0;814.57
C;000044883;104;431.0;790.0;487.25
C;000033111;100;428.0;4330.0;611.3
C;000031689;100;381.0;2999.0;566.52
C;000038727;102;533.0;4442.0;766.15
C;000034865;100;473.0;26426.0;1097.72
C;000033107;100;423.0;2502.0;617.3
C;000030861;100;386.0;200564.0;2564.7
C;000047034;100;455.0;4045.0;655.22
C;000038392;100;534.0;28119.0;1248.09
C;000047016;99;468.0;3287.0;579.89
C;000045156;100;441.0;1017.0;492.28
C;000052092;100;391.0;2187.0;503.6
C;000046410;103;458.0;2610.0;560.32
C;000053462;100;427.0;2096.0;533.38
C;000049708;100;428.0;26045.0;1018.37
C;000032392;144;411.0;26991.0;887.42
C;000050108;100;368.0;967.0;445.05
C;000047250;100;462.0;1135.0;526.81
C;000053217;100;410.0;27022.0;1075.68
C;000033656;100;444.0;7835.0;933.76
C;000035121;100;479.0;3929.0;697.85
C;000028196;100;601.0;3421.0;793.05
C;000052583;100;408.0;1420.0;485.46
C;000041619;100;431.0;2489.0;552.65
C;000042961;100;471.0;972.0;526.54
C;000039280;99;552.0;2514.0;708.11
C;000039275;92;551.0;3393.0;738.02
C;000046789;100;460.0;2087.0;559.52
C;000043773;101;401.0;2269.0;526.97
C;000042234;100;438.0;26010.0;1196.57
C;000049702;100;435.0;1997.0;514.53
C;000050148;100;440.0;3251.0;557.76
C;000042685;100;472.0;1744.0;559.84
C;000031496;100;382.0;1866.0;533.89
C;000036196;100;494.0;200407.0;2657.92
C;000035908;100;478.0;3231.0;597.61
C;000037117;100;509.0;1835.0;595.05
C;000037509;100;520.0;296096.0;6677.85
C;000040270;100;549.0;4814.0;781.76
C;000036694;102;512.0;2520.0;723.25
C;000050461;3;370.0;1119.0;843.33
C;000033937;100;469.0;8128.0;821.52
C;000030680;100;373.0;3219.0;543.03
C;000046747;99;453.0;1889.0;522.35
C;000040537;100;439.0;6345.0;819.56
C;000051776;100;391.0;202308.0;4494.48
C;000042616;100;450.0;2642.0;603.7
C;000041982;100;427.0;25758.0;1162.66
C;000042798;100;444.0;13270.0;896.01
C;000044006;100;413.0;25118.0;988.5
C;000044903;96;430.0;2796.0;598.73
C;000052121;100;398.0;25964.0;1030.91
C;000035911;100;480.0;2265.0;573.0
C;000037542;100;521.0;29359.0;953.59
C;000049016;100;422.0;198891.0;4612.31
C;000037113;100;511.0;4450.0;680.39
C;000029707;100;620.0;2647.0;859.9
C;000040573;105;413.0;5342.0;660.14
C;000030806;100;374.0;2276.0;522.06
C;000039257;100;548.0;9282.0;875.67
C;000039877;100;556.0;2067.0;644.32
C;000052363;100;403.0;26700.0;981.23
C;000030998;100;373.0;2249.0;508.89
C;000037087;99;512.0;29686.0;1558.46
C;000033696;100;444.0;2269.0;605.92
C;000041298;100;425.0;905.0;480.55
C;000037540;100;530.0;211309.0;5016.0
C;000037095;98;502.0;372096.0;8166.93
C;000047282;100;403.0;3474.0;559.14
C;000050826;100;371.0;1798.0;471.39
C;000030826;100;371.0;8066.0;635.53
C;000041971;100;434.0;1857.0;558.95
C;000050777;100;377.0;1515.0;432.54
C;000038179;100;529.0;2667.0;679.02
C;000036745;98;501.0;3443.0;622.95
C;000049714;100;427.0;1617.0;548.31
C;000048842;100;430.0;3295.0;588.43
C;000031729;100;386.0;2301.0;513.23
C;000040817;98;431.0;1189.0;517.72
C;000052785;100;414.0;24988.0;1041.17
C;000048193;99;420.0;2236.0;499.88
C;000032743;100;410.0;3120.0;641.79
C;000042608;100;443.0;3084.0;627.95
C;000049661;101;431.0;1313.0;530.14
C;000047467;100;409.0;113786.0;2849.99
C;000047471;105;391.0;2587.0;563.45
C;000046224;98;458.0;973.0;515.79
C;000029388;100;617.0;2066.0;753.05
C;000032756;100;418.0;3319.0;566.01
C;000028811;100;607.0;2564.0;727.71
C;000030856;100;373.0;3150.0;510.52
C;000051730;100;385.0;2332.0;501.88
C;000043511;101;473.0;3486.0;592.64
C;000028268;100;603.0;26313.0;1272.69
C;000053432;100;414.0;3531.0;628.98
C;000029432;100;613.0;25579.0;1327.36
C;000031340;100;379.0;2219.0;527.33
C;000030668;100;371.0;2970.0;549.08
C;000050831;100;376.0;25490.0;1032.37
C;000043776;99;411.0;1823.0;521.79
C;000029788;100;624.0;27058.0;1314.91
C;000048560;101;414.0;1514.0;583.17
C;000051197;100;365.0;25009.0;1108.08
C;000040546;101;416.0;28457.0;1092.68
C;000031986;100;393.0;2298.0;495.77
C;000047915;100;404.0;1293.0;475.38
C;000038383;102;535.0;3626.0;701.29
C;000030482;100;370.0;3311.0;476.46
C;000028583;100;603.0;2261.0;717.72
C;000038212;100;532.0;7428.0;988.19
C;000036697;100;488.0;2600.0;628.24
C;000033928;100;463.0;2753.0;639.96
C;000049667;103;437.0;25140.0;1104.71
C;000049106;100;430.0;1876.0;504.38
C;000052970;100;417.0;1973.0;498.1
C;000034698;96;453.0;58510.0;1842.08
C;000051247;100;380.0;962.0;475.14
C;000051113;100;390.0;2663.0;586.33
C;000039660;100;556.0;2206.0;666.77
C;000030077;100;623.0;1426.0;705.03
C;000044198;100;419.0;4649.0;688.61
C;000034438;100;460.0;2435.0;592.58
C;000045815;100;444.0;2737.0;570.59
C;000031491;100;382.0;3130.0;554.85
C;000034429;100;460.0;3587.0;722.25
C;000041096;100;415.0;735.0;470.19
C;000033692;100;444.0;4937.0;657.24
C;000048163;100;420.0;1760.0;554.86
C;000048157;99;418.0;2681.0;524.59
C;000051467;100;388.0;2261.0;477.3
C;000034422;100;450.0;30431.0;1366.52
C;000028292;100;605.0;1798.0;693.39
C;000043570;100;480.0;2660.0;658.19
C;000052085;100;403.0;1905.0;481.93
C;000034693;96;454.0;2167.0;560.51
C;000036203;100;487.0;27107.0;1221.18
C;000039121;100;532.0;2295.0;631.04
C;000031691;100;384.0;26281.0;1017.48
C;000037521;100;526.0;4781.0;698.48
C;000034673;100;474.0;4825.0;713.14
C;000048184;99;418.0;199757.0;2520.61
C;000036688;100;467.0;3096.0;719.52
C;000045152;100;431.0;1731.0;513.9
C;000050679;100;376.0;25277.0;1004.98
C;000048557;100;417.0;25405.0;1013.01
C;000037873;101;534.0;3896.0;672.92
C;000045551;99;438.0;2476.0;563.77
C;000043562;99;408.0;2887.0;704.19
C;000033880;100;297.0;5624.0;719.35
C;000050469;100;371.0;6001.0;726.62
C;000052975;100;416.0;2721.0;531.05
C;000047271;103;467.0;7172.0;685.81
C;000029379;100;618.0;1698.0;702.27
C;000040259;100;558.0;3367.0;714.44
C;000042261;96;442.0;4003.0;838.49
C;000037115;100;507.0;2319.0;767.01
C;000038785;100;537.0;1875.0;647.45
C;000042569;100;439.0;1564.0;583.65
C;000053439;100;423.0;2943.0;542.81
C;000050450;100;362.0;2200.0;473.4
C;000049658;100;433.0;2595.0;524.96
C;000028816;100;613.0;5541.0;842.24
C;000042699;95;460.0;26927.0;1269.35
C;000053183;100;422.0;30012.0;1143.71
C;000050459;100;369.0;5544.0;589.39
C;000048209;101;411.0;2625.0;520.56
C;000043930;100;412.0;3084.0;590.45
C;000050472;100;362.0;1685.0;467.27
C;000041344;102;427.0;1001.0;501.43
C;000030853;100;373.0;28829.0;1121.68
C;000048197;100;420.0;1990.0;527.75
C;000049104;100;429.0;2826.0;589.67
C;000032740;100;400.0;1917.0;558.47
C;000052787;100;415.0;1598.0;539.33
C;000035578;100;482.0;24973.0;1160.13
C;000051217;100;387.0;28131.0;1023.45
C;000033160;100;428.0;4665.0;625.55
C;000047041;99;458.0;1442.0;536.47
C;000049194;100;426.0;2034.0;539.31
C;000049694;100;427.0;2032.0;566.74
C;000052412;100;397.0;2424.0;588.77
C;000044201;103;408.0;2125.0;526.62
C;000045146;98;433.0;2771.0;606.71
C;000042964;100;472.0;26052.0;1057.9
C;000047011;101;467.0;1258.0;519.02
C;000038731;101;533.0;5236.0;765.18
C;000033113;100;420.0;7269.0;683.59
C;000040565;100;488.0;3597.0;792.36
C;000037872;100;526.0;4720.0;871.55
C;000040534;101;419.0;3634.0;623.61
C;000031297;100;381.0;26456.0;1103.06
C;000048543;102;406.0;25421.0;1036.37
C;000033660;100;425.0;2679.0;571.61
C;000032393;100;411.0;27327.0;1085.07
C;000052119;100;392.0;2606.0;502.57
C;000031686;100;389.0;1955.0;505.75
C;000044691;97;426.0;963.0;505.01
C;000048867;100;423.0;2529.0;556.26
C;000045807;100;438.0;3384.0;588.02
C;000043509;100;464.0;56962.0;1780.29
C;000036066;100;480.0;11351.0;865.85
C;000045194;100;441.0;4254.0;710.79
C;000047038;102;460.0;199530.0;4469.36
C;000028532;100;599.0;204847.0;4997.98
C;000033148;100;431.0;5640.0;606.27
C;000038782;101;556.0;2363.0;675.43
C;000036385;97;499.0;2241.0;672.88
C;000036207;100;482.0;4018.0;714.12
C;000049435;100;435.0;2677.0;544.38
C;000031696;100;390.0;1822.0;547.11
C;000030612;100;385.0;2705.0;520.18
C;000028525;100;613.0;2756.0;792.05
C;000053441;100;424.0;1036.0;466.8
C;000050834;100;378.0;2345.0;468.07
C;000047502;99;404.0;1469.0;468.3
C;000052404;100;406.0;2567.0;556.74
C;000028900;100;619.0;2613.0;786.47
C;000039118;101;539.0;3262.0;715.33
C;000051720;100;398.0;111747.0;2678.15
C;000051419;100;387.0;915.0;442.69
