TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
A;8633;77;266000;3091000;690701.30;1;2;1.05
A;9284;82;266000;3595000;620719.51;1;2;1.02
A;9281;79;242000;1487000;391405.06;1;1;1.00
A;9575;81;310000;1785000;561320.99;1;2;1.01
A;9285;82;265000;3214000;763939.02;1;1;1.00
A;8632;80;261000;2632000;615312.50;1;1;1.00
A;9472;78;276000;3005000;485653.85;1;1;1.00
A;9473;80;277000;2660000;572375.00;1;1;1.00
A;9283;80;254000;3132000;465012.50;1;1;1.00
A;9475;90;271000;3086000;628988.89;1;2;1.15
A;9287;81;270000;2775000;520444.44;1;1;1.00
A;9280;76;277000;1052000;448921.05;1;1;1.00
A;9182;78;287000;1559000;398000.00;1;1;1.00
A;9006;76;278000;2443000;595644.74;1;1;1.00
A;8419;92;316000;3310000;1022630.43;1;2;1.10
A;9286;80;267000;816000;361312.50;1;1;1.00
A;8631;85;303000;1928000;562364.71;1;2;1.05
A;9576;78;274000;2470000;369333.33;1;1;1.00
A;9184;81;283000;2247000;715358.02;1;2;1.05
A;9574;80;310000;2488000;588675.00;1;1;1.00
A;9004;87;297000;2095000;585206.90;1;2;1.04
A;9005;80;264000;2709000;767075.00;1;1;1.00
A;9185;80;287000;1122000;434287.50;1;1;1.00
A;9474;81;273000;2567000;450617.28;1;2;1.05
A;9183;78;281000;2170000;619307.69;1;2;1.01
A;8996;65;293000;2438000;591000.00;1;1;1.00
A;9282;80;253000;1886000;402937.50;1;1;1.00
A;8630;85;301000;2740000;442294.12;1;2;1.01
B;7260;100;277000;3274000;533400.00;1;1;1.00
B;7946;100;286000;3594000;422190.00;1;1;1.00
B;6773;102;291000;3341000;728098.04;1;2;1.03
B;6694;104;292000;2727000;520365.38;1;2;1.04
B;6252;104;316000;2739000;596144.23;1;2;1.05
B;5948;101;336000;2318000;580207.92;1;2;1.03
B;7590;104;298000;3133000;646076.92;1;3;1.05
B;8120;99;291000;2614000;459616.16;1;2;1.01
B;8464;101;284000;2724000;534910.89;1;2;1.01
B;7506;101;292000;1313000;454623.76;1;1;1.00
B;8034;101;292000;3167000;519059.41;1;1;1.00
B;8467;100;287000;2066000;390540.00;1;1;1.00
B;5797;96;340000;1585000;586062.50;1;1;1.00
B;6106;102;336000;3041000;605607.84;1;2;1.03
B;8471;101;289000;1183000;382801.98;1;2;1.01
B;8658;100;304000;2892000;442180.00;1;1;1.00
B;8575;99;295000;1945000;451121.21;1;2;1.02
B;8569;100;286000;2263000;422300.00;1;2;1.01
B;8841;101;274000;3210000;509851.49;1;2;1.01
B;7882;100;301000;1559000;453920.00;1;1;1.00
B;8740;100;285000;3450000;461040.00;1;1;1.00
B;6103;99;328000;2849000;567565.66;1;2;1.01
B;9127;99;279000;2702000;610929.29;1;2;1.01
B;6247;99;341000;3549000;635555.56;1;2;1.01
B;7595;99;302000;2337000;475464.65;1;2;1.01
B;8738;100;305000;1455000;408620.00;1;1;1.00
B;8843;99;286000;1828000;458414.14;1;1;1.00
B;7592;102;282000;3595000;492598.04;1;2;1.02
B;9613;100;280000;2646000;395260.00;1;1;1.00
B;9616;102;282000;3440000;584990.20;1;2;1.02
B;6562;199;218000;3323000;570874.37;1;2;1.02
B;7426;104;290000;3369000;565221.15;1;2;1.06
B;8939;98;283000;2665000;433224.49;1;1;1.00
B;8842;101;287000;2746000;415495.05;1;2;1.01
B;7841;99;286000;2650000;534838.38;1;2;1.01
B;7344;99;288000;2489000;576111.11;1;1;1.00
B;9418;101;306000;3560000;598396.04;1;2;1.05
B;7771;100;286000;1883000;467610.00;1;1;1.00
B;9417;98;311000;1850000;474091.84;1;1;1.00
B;8844;100;299000;2965000;436750.00;1;1;1.00
B;7773;101;288000;3510000;499871.29;1;2;1.01
B;6029;101;335000;2281000;528564.36;1;2;1.02
B;5871;100;352000;2209000;530730.00;1;1;1.00
B;6772;98;305000;3383000;646091.84;1;2;1.05
B;9043;101;291000;2857000;489910.89;1;2;1.01
B;7679;101;286000;2875000;418891.09;1;2;1.01
B;5947;100;332000;2096000;550760.00;1;2;1.01
B;6858;108;285000;2626000;640000.00;1;2;1.08
B;6568;98;270000;3070000;522755.10;1;2;1.01
B;7596;100;302000;2343000;483960.00;1;1;1.00
B;7680;106;286000;2744000;573698.11;1;2;1.09
B;6452;101;376000;2704000;610099.01;1;2;1.03
B;8941;104;284000;2470000;458307.69;1;2;1.04
B;9003;110;286000;3229000;528181.82;1;3;1.12
B;6861;98;290000;1034000;407122.45;1;1;1.00
B;9327;99;297000;3297000;575515.15;1;1;1.00
B;9701;101;280000;3191000;595742.57;1;2;1.02
B;9703;100;283000;2356000;465820.00;1;1;1.00
B;7839;96;290000;2321000;528104.17;1;2;1.01
B;8363;96;291000;2681000;411072.92;1;1;1.00
B;8570;100;223000;2587000;437500.00;1;2;1.01
B;8662;101;304000;2163000;492663.37;1;2;1.01
B;9615;99;282000;2974000;507828.28;1;2;1.01
B;8262;99;290000;2523000;423606.06;1;1;1.00
B;8117;100;287000;3148000;407080.00;1;1;1.00
B;7947;100;298000;2545000;455410.00;1;1;1.00
B;6179;100;327000;3327000;568670.00;1;1;1.00
B;8659;99;300000;2900000;499767.68;1;2;1.01
B;7049;99;284000;3502000;566141.41;1;1;1.00
B;8739;100;286000;1866000;459660.00;1;1;1.00
B;8268;100;289000;1423000;390630.00;1;1;1.00
B;6929;100;277000;2899000;477270.00;1;1;1.00
B;9224;95;283000;3393000;391884.21;1;1;1.00
B;9521;101;302000;3486000;444346.53;1;2;1.01
B;7105;95;285000;2667000;530042.11;1;2;1.02
B;8568;102;286000;3111000;547196.08;1;2;1.03
B;8934;102;290000;2921000;496539.22;1;2;1.01
B;6564;98;278000;2734000;661479.59;1;2;1.04
B;9519;98;273000;2186000;451255.10;1;1;1.00
B;6487;101;260000;2896000;495534.65;1;2;1.01
B;6567;95;286000;2863000;642673.68;1;2;1.01
B;6856;102;285000;2158000;505843.14;1;2;1.02
B;8837;96;292000;2964000;452489.58;1;1;1.00
B;6990;101;299000;2949000;513584.16;1;2;1.01
B;6855;101;285000;3460000;552861.39;1;2;1.01
