TEIL;LAGER;COUNT;MIN;MAX;AVG
C;27528;32;601000;1319000;727156.25
H;27676;24;375000;1655000;601666.67
H;27878;90;355000;2807000;575177.78
C;27908;17;601000;1422000;774588.24
I;27932;78;304000;1376000;399897.44
I;27935;75;620000;2742000;851693.33
E;27979;100;358000;1628000;528350.00
E;27982;98;361000;2239000;624102.04
E;27984;101;359000;2829000;565574.26
E;28007;98;358000;3075000;604989.80
E;28009;98;361000;3010000;614897.96
E;28012;100;366000;2004000;525800.00
F;28015;90;302000;2447000;443155.56
F;28020;48;306000;2252000;504562.50
H;28086;90;355000;2460000;626255.56
D;28100;95;327000;1653000;456515.79
D;28107;56;329000;2516000;706910.71
D;28116;100;324000;3024000;611720.00
B;28119;35;362000;1756000;686342.86
B;28122;103;329000;2763000;616368.93
D;28126;102;328000;1795000;472401.96
D;28145;101;324000;2795000;486465.35
D;28161;102;328000;3292000;543098.04
D;28168;101;325000;3026000;511217.82
C;28185;102;601000;1957000;728372.55
B;28187;101;323000;3117000;593801.98
C;28191;101;600000;1906000;700633.66
C;28195;99;602000;3406000;792616.16
C;28196;100;601000;3421000;793050.00
C;28199;100;602000;1432000;681520.00
B;28211;99;337000;2457000;557787.88
I;28213;79;599000;2355000;809784.81
B;28215;102;316000;2638000;625960.78
I;28216;80;303000;866000;422325.00
G;28217;85;303000;1396000;484011.76
I;28219;80;307000;2547000;446000.00
B;28220;102;324000;1891000;490588.24
F;28223;90;305000;2778000;494755.56
F;28224;91;303000;1845000;450164.84
F;28228;88;303000;2645000;519090.91
H;28232;91;354000;2702000;563703.30
G;28233;8;303000;918000;695750.00
H;28234;91;346000;3232000;649395.60
G;28237;92;308000;1745000;569315.22
H;28238;88;362000;2277000;551920.45
K;28241;102;380000;1825000;508715.69
K;28244;81;380000;3284000;617370.37
B;28256;104;326000;2904000;594336.54
C;28257;100;600000;2761000;782730.00
C;28262;100;599000;3150000;733150.00
B;28265;103;324000;2789000;553679.61
B;28266;100;331000;1645000;520550.00
C;28268;101;603000;2240000;744069.31
C;28282;100;598000;3480000;796160.00
C;28292;100;605000;1798000;693390.00
C;28295;100;605000;1897000;721280.00
B;28337;98;82000;2709000;583663.27
I;28338;82;303000;2717000;459743.90
I;28341;80;303000;3041000;390962.50
B;28343;100;357000;2526000;520350.00
I;28345;78;308000;1172000;409641.03
I;28349;80;302000;1899000;449625.00
I;28351;80;309000;1546000;445975.00
B;28360;101;334000;3337000;556069.31
E;28393;102;362000;1998000;524137.25
E;28397;98;357000;1447000;486775.51
G;28415;90;304000;948000;394311.11
G;28419;89;304000;2766000;463247.19
G;28423;91;303000;1663000;463010.99
G;28426;90;304000;2731000;476777.78
G;28432;90;305000;2695000;440422.22
F;28435;90;303000;954000;409788.89
F;28439;90;306000;2145000;437533.33
F;28441;90;305000;999000;413155.56
F;28446;90;303000;2724000;457744.44
F;28449;90;304000;722000;352588.89
F;28453;91;303000;2685000;505428.57
K;28461;100;413000;3262000;583330.00
K;28469;99;384000;1687000;534474.75
K;28473;101;383000;2836000;593366.34
H;28478;90;359000;1545000;512955.56
H;28479;90;349000;2020000;499677.78
H;28482;88;355000;1963000;566602.27
H;28487;90;376000;2848000;580600.00
H;28488;89;353000;1806000;520067.42
