LINIE;FROM;TO;MIN;MAX;AVG
3;K;K;72.0;500141.0;2646.93
3;K;H;3500.0;4017.0;3758.5
3;H;K;1991.0;3506.0;2748.5
3;K;C;10716.0;10716.0;10716.0
3;C;C;1550.0;1550.0;1550.0
3;C;K;63768.0;63768.0;63768.0
3;K;E;1821.0;11503.0;5877.5
3;E;E;84.0;1330.0;314.0
3;E;K;1476.0;51411.0;14047.25
3;H;H;91.0;346.0;152.67
3;E;H;3447.0;3447.0;3447.0
3;H;E;1177.0;1177.0;1177.0
1;E;H;714.0;6245.0;1761.69
1;H;H;70.0;662241.0;2135.88
1;H;E;931.0;7658.0;1910.52
1;E;E;78.0;253011.0;1059.46
1;E;A;7527.0;15359.0;11606.5
1;A;H;2719.0;68570.0;20255.25
1;A;A;85.0;41004.0;5297.62
1;A;E;3633.0;4463.0;4099.67
1;H;A;3206.0;215865.0;143663.67
1;H;K;2548.0;2548.0;2548.0
1;K;H;3524.0;3524.0;3524.0
2;G;F;377.0;3827.0;747.78
2;F;F;-50534.0;482077.0;1466.65
2;F;I;1123.0;4160.0;1799.23
2;I;I;78.0;198874.0;1188.72
2;I;G;1052.0;12154.0;2017.7
2;G;G;86.0;16022.0;236.11
2;F;G;400.0;288540.0;6850.57
2;G;I;-94159.0;3130.0;-1824.22
2;I;F;972.0;8341.0;2062.88
5;B;B;90.0;490125.0;1958.49
5;B;D;398.0;2623.0;821.43
5;D;D;91.0;2506.0;253.85
5;D;B;370.0;20642.0;1137.5
5;B;H;4283.0;4283.0;4283.0
5;H;H;82.0;397.0;198.43
5;H;D;2128.0;2147.0;2137.5
5;D;H;1559.0;1559.0;1559.0
4;C;C;-23408.0;480642.0;1707.73
4;C;I;829.0;26252.0;2230.36
4;I;I;85.0;25948.0;496.07
4;I;C;780.0;7248.0;1693.61
4;C;F;832.0;3166.0;1458.0
4;F;F;87.0;2652.0;297.71
4;F;C;1194.0;3584.0;2356.14
