TEIL;LAGER;COUNT;MIN;MAX;AVG
A;079240369;100;277;6319;759.0300
A;000052435;79;273;26265;1491.3038
A;079240224;99;253;12881;612.7576
A;000052444;80;310;8375;847.7625
A;000052438;81;271;26295;2051.6049
A;079354500;54;282;8160;969.5185
A;079353392;60;254;587;323.0833
A;079042573;70;293;4596;632.4714
A;079042572;85;297;3940;649.4118
A;000052429;80;276;4232;577.9125
A;079042598;61;264;2709;753.5246
A;079240233;102;283;4961;656.2255
A;079042597;100;278;26405;1137.1700
A;000052447;80;274;19421;827.7375
A;079353397;62;265;3124;718.9032
A;079354501;63;242;26564;1177.1587
A;079353396;100;266;14192;885.5600
A;079353390;100;267;2775;499.0300
A;079353393;63;283;32137;3750.9048
A;000052431;80;277;2660;572.3750
A;078665371;166;303;5426;630.8675
A;000052441;80;310;11312;789.8500
A;079354502;62;270;782;345.6290
A;079042595;99;261;2769;674.8889
A;079042596;53;266;5870;751.4717
B;000028265;99;324;9986;689.5960
B;000030114;101;337;7278;726.9307
B;000030407;100;326;3351;573.6400
B;000040621;100;287;2820;608.4100
B;000033593;100;294;4401;690.0800
B;000031823;99;297;49164;1741.1616
B;000028266;99;331;1645;517.6465
B;000042855;101;293;56275;1522.2475
B;000028753;101;321;6730;705.8614
B;000043014;101;287;250724;7863.6436
B;000040851;100;302;25646;1017.4600
B;000043677;100;289;26339;945.9800
B;000032484;100;291;2877;498.8500
B;000034306;101;270;5596;673.2574
B;000032471;100;292;2881;462.7900
B;000037240;99;285;2911;544.4040
B;000039357;100;294;6708;590.0800
B;000028755;101;353;2512374;35552.7030
B;000041688;100;283;7523;625.2700
B;000039736;100;293;27900;1506.6200
B;000029263;100;334;26977;1113.8100
B;000029018;100;341;11206;674.7500
B;000035269;105;292;18575;1487.5429
B;000029829;100;334;12686;895.5100
B;000035748;98;280;6414;810.8367
B;000029479;100;335;8043;554.7300
B;000037929;100;290;2716;498.3200
B;000036295;100;284;26069;919.1500
B;000042132;101;293;285651;6201.1188
B;000028122;99;331;7599;752.3030
B;000042498;100;290;4173;463.6300
B;000050473;100;290;26361;1141.0100
B;000044789;101;291;2614;454.2673
B;000048303;100;288;25598;933.5800
B;000048310;100;287;2611;390.1300
B;000048312;100;291;2758;475.2100
B;000044787;100;290;839;340.5800
B;000045081;100;291;1931;446.3000
B;000048499;100;279;2563;483.5400
B;000045356;100;291;3983;594.8400
B;000047134;100;285;7480;560.8200
B;000043688;102;288;229981;5473.0588
B;000047116;100;292;2731;421.6600
B;000045746;78;290;3430;489.8846
B;000053719;99;279;26519;934.3434
B;000045753;99;292;2681;431.6768
B;000047415;100;300;114956;2847.7100
B;000049877;100;284;2462;469.5900
B;000049872;100;285;3366;587.6900
B;000047830;100;304;5290;583.5300
B;000044344;100;287;2771;458.8800
B;000044352;100;287;1750;377.0100
B;000052316;101;298;6621;1173.4059
B;000028187;102;323;28764;1345.4510
B;000036813;100;296;2641;411.9300
B;000036808;98;296;25295;1007.1429
B;000033598;100;286;208363;6975.4900
B;000042493;100;286;58482;1598.4200
B;000036817;100;284;8512;733.3600
B;000030702;100;332;5953;621.3800
B;000028360;100;334;5218;595.7200
B;000043093;100;288;1356;374.5800
B;000033878;100;289;27291;1077.6800
B;000030700;100;328;3041;604.3100
B;000028762;100;340;26668;1201.3700
B;000041524;101;289;5472;760.3960
B;000032705;101;299;7597;795.3960
B;000035746;101;285;25988;1108.4158
B;000039730;100;290;57401;1834.6200
B;000030930;99;328;4225;529.3838
B;000031066;99;327;2512374;26221.6667
B;000031069;100;332;3491;630.1200
B;000041860;100;286;2895;548.6700
B;000035258;100;287;3460;537.5000
B;000031426;100;360;16439;1143.3700
B;000040159;100;284;3756;477.1400
B;000046691;101;285;3096;547.2871
B;000052322;99;282;7771;772.0202
B;000053172;100;298;4508;529.4600
B;000050276;100;296;2766;438.7900
B;000044876;100;288;1272;438.6000
B;000050389;100;294;28006;1240.6200
B;000048943;100;288;3128;537.6500
B;000051320;99;291;27625;995.7576
B;000053560;100;289;5083;552.8100
B;000048940;100;274;3210;464.8700
B;000051570;101;287;272698;3859.4950
B;000049322;99;291;5041;574.7778
B;000045519;100;289;1228;378.3800
B;000049472;101;290;199868;6463.8317
B;000051563;99;297;3297;605.4646
B;000044336;99;301;3167;649.4848
B;000044090;102;287;31835;1968.6471
B;000052337;100;303;27654;1243.6100
B;000054527;98;283;4769;729.6327
B;000049611;93;288;4476;582.3548
B;000045972;99;300;3777;487.3737
B;000045981;99;295;2762;504.6970
B;000050285;102;297;4819;609.1765
B;000038654;100;290;2728;503.3500
B;000028211;100;337;26880;1112.2300
B;000033580;99;285;56621;1643.8081
B;000030115;100;346;3052;664.9200
B;000030119;100;326;30738;1166.9800
B;000032107;101;275;4524;607.0396
B;000043017;100;295;2027;419.8900
B;000037019;100;284;3879;658.6800
B;000028337;100;322;28824;1141.2300
B;000039058;100;288;2489;432.9200
B;000040861;102;279;229655;5241.3922
B;000037449;99;290;12541;992.6667
B;000034724;99;290;5771;599.9798
B;000039739;100;295;79003;1475.7900
B;000040847;97;287;1466;423.1443
B;000030928;100;328;3419;541.2000
B;000030935;102;328;40209;1089.4902
B;000037452;100;287;25821;991.0900
B;000034961;98;305;5343;778.4694
B;000032111;100;294;6762;857.2500
B;000034954;100;292;155475;2346.0700
B;000037798;100;287;229189;5103.4600
B;000037795;100;288;27865;962.4600
B;000039949;101;301;380137;11772.0495
B;000029022;48;361;203808;5204.5208
B;000035762;44;289;2336;561.8182
B;000042488;101;285;157079;3929.7327
B;000037803;44;292;1625;481.7955
B;000033588;99;284;204536;5450.8485
B;000040164;100;306;25722;1030.7800
B;000052319;101;283;10271;540.1485
B;000045975;101;284;7973;850.3366
B;000048302;99;285;2731;515.0000
B;000052329;100;285;2508;393.0200
B;000046951;103;287;26684;910.0000
B;000044872;99;290;1325;455.0000
B;000053720;100;286;240578;10064.0100
B;000047135;101;289;3013;499.6535
B;000045523;100;289;2444;459.9500
B;000043680;97;278;28997;1446.1959
B;000048763;101;290;3858;445.8218
B;000051565;99;294;3471;503.6768
B;000053733;100;280;1968;405.8200
B;000049475;100;287;3620;474.3700
B;000048080;99;304;28524;871.7374
B;000048078;100;305;2542;490.2000
B;000054508;62;270;5194;537.1129
B;000046194;100;292;6195;668.7400
B;000038658;100;290;26026;1001.4000
B;000028256;102;326;4577;752.1275
B;000033864;100;294;67489;3165.9700
B;000043682;100;289;166109;2185.1400
B;000030399;102;328;3358;552.7451
B;000028759;100;339;4323;648.2200
B;000029029;74;327;3145;624.3514
B;000033064;100;307;2852;578.0600
B;000037466;100;290;28773;1200.0700
B;000042127;99;286;26269;1024.7778
B;000035753;100;276;5146;622.5000
B;000033066;100;260;2907;535.5900
B;000036289;100;295;8801;888.1400
B;000036302;100;287;2899;484.6600
B;000028119;36;362;930131;52443.6944
B;000042130;100;281;57072;1793.9400
B;000050586;101;295;5357;674.5149
B;000044326;100;292;11995;767.5300
B;000044340;99;280;1772;455.1717
B;000052333;100;295;26054;1389.6400
B;000046394;100;287;2066;369.5000
B;000050283;98;304;30847;1305.1837
B;000046954;99;284;2923;438.3838
B;000048502;99;292;4513;540.8485
