LINIE;FROM;TO;MIN;MAX;AVG
1;A;A;85.00;41004.00;5297.62
1;A;E;3633.00;4646.00;4247.33
1;A;H;2719.00;68570.00;20255.25
1;E;A;7527.00;15359.00;11606.50
1;E;E;78.00;253011.00;1059.46
1;E;H;714.00;6245.00;1772.59
1;H;A;3206.00;215865.00;143663.67
1;H;E;931.00;7658.00;1914.22
1;H;H;70.00;662241.00;2137.73
1;H;K;2548.00;2548.00;2548.00
1;K;H;5206.00;5206.00;5206.00
2;F;F;84.00;482077.00;2684.69
2;F;G;423.00;1831.00;632.04
2;F;I;1123.00;4160.00;1873.82
2;G;F;377.00;3827.00;739.83
2;G;G;90.00;2889.00;205.07
2;G;I;1255.00;3044.00;1802.69
2;I;F;1122.00;3189.00;1719.55
2;I;G;1052.00;2926.00;1573.89
2;I;I;99.00;2389.00;317.65
3;C;C;2863.00;2863.00;2863.00
3;C;K;63768.00;63768.00;63768.00
3;E;E;84.00;1330.00;314.00
3;E;H;3447.00;3447.00;3447.00
3;E;K;1476.00;51477.00;14063.75
3;H;E;1177.00;1177.00;1177.00
3;H;H;91.00;346.00;152.67
3;H;K;1991.00;3506.00;2748.50
3;K;C;10716.00;10716.00;10716.00
3;K;E;1821.00;11503.00;5877.50
3;K;H;3500.00;5890.00;4695.00
3;K;K;72.00;500141.00;2650.05
4;C;C;81.00;480642.00;3218.40
4;C;I;960.00;26252.00;2417.90
4;I;C;780.00;3284.00;1547.84
4;I;I;90.00;25948.00;641.03
5;B;B;95.00;490125.00;4346.35
5;B;D;477.00;2623.00;1018.31
5;B;H;4283.00;4283.00;4283.00
5;D;B;384.00;20642.00;2070.73
5;D;D;94.00;3462.00;338.27
5;H;D;2147.00;2147.00;2147.00
5;H;H;212.00;212.00;212.00
