Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000027528;34;10,01;88799537,33;5223522,986
000027676;24;6,15;388,2;30,03541667
000027878;90;5,95;86,87;16,23177778
000027908;17;10,07;50,49;31,76941176
000027932;80;5,04;8304,52;219,585375
000027935;75;10,2;85,42;23,78093333
000027979;105;5,98;88799225,93;1691432,82
000027982;101;6,01;8313,99;182,1049505
000027984;101;5,99;136,77;16,57158416
000028007;98;5,98;94,26;18,07714286
000028009;99;6,01;8315,97;101,0118182
000028012;100;6,06;73,63;14,774
000028015;90;5,03;80,87;13,14711111
000028020;49;5,06;75,03;14,67795918
000028086;90;5,95;81;17,53811111
000028100;100;5,28;8397,08;182,9934
000028107;57;5,49;100,79;23,73298246
000028116;100;5,26;90,24;16,9772
000028119;38;6,02;88799462,11;4673676,824
000028122;103;5,48;206,79;20,0761165
000028126;102;5,29;119,31;14,41401961
000028145;101;5,26;86,35;14,32178218
000028161;102;5,29;94,52;16,03166667
000028168;101;5,43;115,62;15,86950495
000028185;102;10,05;20131,27;219,2819608
000028187;105;5,24;8399,64;177,5579048
000028191;101;4,22;193,12;22,88712871
000028195;101;10,02;8302,19;188,330198
000028196;100;10,01;97,01;21,6065
000028199;100;10,06;63,92;19,7272
000028211;101;5,37;8328;181,6172277
000028213;81;10,19;361,76;29,33271605
000028215;104;5,16;28362,04;569,3370192
000028216;80;5,04;45,52;10,53825
000028217;85;5,03;55,07;15,61658824
000028219;80;5,07;49,76;11,945
000028220;104;5,24;215,8;15,25971154
000028223;90;5,05;86,58;13,14311111
000028224;91;5,03;124,03;13,39054945
000028228;90;5,03;8297,08;199,4834444
000028232;91;5,94;85,02;16,87659341
000028233;10;5,03;88799188,21;17759858,65
000028234;93;5,97;167,72;18,91645161
000028237;92;5,08;69,45;15,95608696
000028238;91;6,02;8373,14;199,6627473
000028241;102;6,2;80,66;15,13362745
000028244;84;6,2;88800106,63;2114306,131
000028256;104;5,3;116,57;18,37875
000028257;100;10,01;86;25,0513
000028262;100;9,99;92,7;20,2035
000028265;103;5,25;395,81;24,13320388
000028266;100;5,5;155,37;14,8864
000028268;103;10,03;8341,03;421,9162136
