Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
;;;;
005325;99;5,98;88799225,93;1793939,367
005326;95;5,98;91,55;16,00463158
005327;100;6,01;8313,99;183,654
005328;100;5,99;87,09;15,3696
005329;100;6,06;73,63;14,774
005330;99;6,01;8315,97;101,0118182
005331;100;6,02;73,18;15,7879
005332;90;5,95;81;17,471
005333;90;5,98;71,85;14,24644444
005334;90;5,95;8373,14;201,872
005335;90;5,97;78,72;17,74188889
005336;90;5,94;93,92;14,98266667
005337;90;5,99;85,02;17,18033333
005338;90;6,16;68,6;13,57633333
005339;90;6,12;28306,76;644,1728889
005340;92;5,95;155,92;21,45728261
005341;90;5,03;67,96;12,57966667
005342;90;5,03;80,87;12,52888889
005343;90;5,03;70,85;13,00633333
005344;90;5,03;84,05;12,20677778
005345;90;5,06;8297,08;196,485
005346;90;5,05;75,85;11,54344444
005347;90;5,04;86,58;12,82411111
005348;90;5,04;72,54;9,57955556
005351;47;5,03;88799188,21;3778703,344
005352;90;5,08;65,07;14,56488889
005353;90;5,05;84,95;13,54544444
005354;89;5,04;70,52;11,63797753
005355;90;5,03;85,31;12,955
005356;80;5,04;8304,52;219,585375
005357;80;5,09;65,85;12,42475
005358;80;5,07;49,76;11,945
005359;80;5,04;45,52;10,53825
005360;80;5,07;55,06;11,744375
005361;80;5,03;85,17;12,603
005362;80;5,08;8294,38;217,014625
005363;80;10,2;85,42;26,174125
005364;80;10,19;105,76;22,05125
005365;80;5,04;71,79;11,111375
005368;85;6,2;88800106,63;2089430,838
005369;99;6,2;70,25;13,21606061
005370;99;6,23;9208,53;203,1565657
005371;100;6,24;9194,07;195,9369
005372;100;6,24;94,62;16,8823
005373;101;6,27;8588,03;186,5448515
005376;90;10,01;88799537,33;1973344,313
005377;100;4,22;64,2;21,0649
005380;100;10,01;60,21;19,9543
005381;100;10,03;97,01;23,5817
005382;100;10,02;8302,19;186,322
005383;100;10,03;77,81;18,8971
005384;100;10,01;77,08;25,0298
005385;100;9,99;92,7;23,2971
005386;101;9,98;8303,96;187,2523762
005387;100;10,03;77,6;18,3282
005388;100;10,05;8318,33;184,8453
005389;100;10,06;59,61;21,1259
005390;100;10,01;71,09;22,4201
005391;100;10,02;107,55;26,1322
005392;87;5,49;88799462,11;2041382,445
