TEIL;FA;COUNT;MIN;MAX;AVG
A;008419              ;87;316.00;3310.00;1022.63
A;008630              ;85;301.00;2740.00;442.29
A;008631              ;81;303.00;1928.00;562.36
A;008632              ;80;261.00;2632.00;615.31
A;008633              ;73;266.00;3091.00;690.70
A;008996              ;65;293.00;2438.00;591.00
A;009004              ;84;297.00;2095.00;585.21
A;009005              ;80;264.00;2709.00;767.08
A;009006              ;78;278.00;2443.00;595.64
A;009182              ;79;287.00;1559.00;398.00
A;009183              ;78;281.00;2170.00;619.31
A;009184              ;80;283.00;2247.00;715.36
A;009185              ;80;287.00;1122.00;434.29
A;009280              ;80;277.00;1052.00;448.92
A;009281              ;83;242.00;1487.00;391.41
A;009282              ;80;253.00;1886.00;402.94
A;009283              ;80;254.00;3132.00;465.01
A;009284              ;80;266.00;3595.00;620.72
A;009285              ;82;265.00;3214.00;763.94
A;009286              ;80;267.00;816.00;361.31
A;009287              ;81;270.00;2775.00;520.44
A;009472              ;80;276.00;3005.00;485.65
A;009473              ;80;277.00;2660.00;572.38
A;009474              ;79;273.00;2567.00;450.62
A;009475              ;80;271.00;3086.00;628.99
A;009574              ;80;310.00;2488.00;588.67
A;009575              ;80;310.00;1785.00;561.32
A;009576              ;80;274.00;2470.00;369.33
B;005712              ;88;346.00;2763.00;636.53
B;005713              ;100;328.00;2582.00;517.95
B;005714              ;100;324.00;3117.00;639.76
B;005715              ;100;323.00;2752.00;561.71
B;005716              ;101;324.00;2457.00;567.07
B;005717              ;100;331.00;1243.00;426.25
B;005718              ;100;330.00;2527.00;607.81
B;005719              ;100;324.00;2904.00;551.94
B;005792              ;99;261.00;2638.00;625.52
B;005793              ;97;82.00;3337.00;565.66
B;005794              ;100;328.00;1462.00;520.61
B;005795              ;100;339.00;2709.00;545.20
B;005796              ;100;342.00;2526.00;596.92
B;005797              ;100;340.00;1585.00;586.06
B;005798              ;100;339.00;2543.00;552.43
B;005866              ;100;365.00;1643.00;620.54
B;005867              ;101;328.00;2379.00;743.65
B;005868              ;100;327.00;3145.00;578.49
B;005869              ;101;333.00;2437.00;631.02
B;005870              ;100;334.00;2695.00;619.88
B;005871              ;100;352.00;2209.00;530.73
B;005872              ;100;347.00;1506.00;499.25
B;005873              ;100;340.00;2664.00;555.99
B;005945              ;100;334.00;2679.00;537.48
B;005946              ;101;335.00;3470.00;508.81
B;005947              ;100;332.00;2096.00;550.76
B;005948              ;100;336.00;2318.00;580.21
B;005949              ;100;337.00;3040.00;539.95
B;005950              ;100;338.00;1090.00;465.94
B;005951              ;100;337.00;1743.00;488.23
B;005952              ;100;330.00;2535.00;582.00
B;006022              ;100;345.00;2760.00;643.23
B;006023              ;100;323.00;3052.00;633.11
B;006024              ;100;326.00;3351.00;546.09
B;006025              ;98;262.00;2561.00;586.61
B;006026              ;100;330.00;3577.00;620.18
