TEIL;LAGER;COUNT;MIN;MAX;AVG
A;000045696;99;316.00;12234.00;1280.82
A;000050445;100;281.00;3701.00;466.20
A;000052429;80;276.00;4232.00;577.91
A;000052431;80;277.00;2660.00;572.38
A;000052435;80;273.00;25836.00;1061.27
A;000052438;80;271.00;26295.00;1186.74
A;000052441;80;310.00;2488.00;588.67
A;000052444;80;310.00;1785.00;561.32
A;000052447;80;274.00;19421.00;827.74
A;078665371;167;301.00;5389.00;530.91
A;079042572;84;297.00;2095.00;585.21
A;079042573;65;293.00;2438.00;591.00
A;079042595;100;261.00;2769.00;684.16
A;079042596;53;266.00;3091.00;596.37
A;079042597;100;278.00;26405.00;1137.17
A;079042598;58;264.00;2709.00;784.59
A;079240224;100;253.00;3132.00;500.51
A;079240233;100;283.00;2247.00;528.19
A;079240369;100;277.00;6319.00;759.03
A;079353390;100;267.00;2775.00;499.03
A;079353392;60;254.00;587.00;323.08
A;079353393;60;283.00;28947.00;1314.78
A;079353396;100;266.00;3595.00;676.18
A;079353397;62;265.00;3124.00;718.90
A;079354500;58;282.00;3708.00;692.05
A;079354501;63;242.00;26564.00;1177.16
A;079354502;61;270.00;782.00;346.85
B;000028119;36;362.00;930131.00;50924.16
B;000028122;99;329.00;2763.00;616.37
B;000028187;101;323.00;28764.00;1134.62
B;000028211;100;337.00;26880.00;1078.48
B;000028215;100;316.00;199324.00;4442.67
B;000028220;100;324.00;1891.00;490.59
B;000028256;101;326.00;2904.00;594.34
B;000028265;100;324.00;2789.00;553.68
B;000028266;100;331.00;1645.00;520.55
B;000028337;97;82.00;26576.00;846.21
B;000028343;100;357.00;2526.00;520.35
B;000028360;100;334.00;3337.00;556.07
B;000028746;100;328.00;5399.00;767.71
B;000028753;100;261.00;5019.00;618.15
B;000028755;100;353.00;199978.00;4591.04
B;000028759;100;339.00;3900.00;607.17
B;000028762;100;340.00;26668.00;1201.37
B;000029018;100;341.00;1925.00;486.97
B;000029022;100;333.00;2695.00;688.72
B;000029029;100;327.00;28001.00;1116.37
B;000029263;100;334.00;26977.00;1107.31
B;000029266;100;360.00;2543.00;589.63
B;000029475;100;336.00;3863.00;575.44
B;000029479;100;335.00;1472.00;476.15
B;000029491;100;352.00;1506.00;493.79
B;000029492;100;332.00;26919.00;1133.57
B;000029820;100;337.00;1090.00;458.04
B;000029825;100;345.00;200017.00;4754.29
B;000029829;100;334.00;8130.00;693.03
B;000029832;100;335.00;199376.00;4429.87
B;000030111;100;330.00;27761.00;1085.21
B;000030114;101;337.00;3040.00;605.11
B;000030115;100;323.00;3052.00;632.35
B;000030118;103;333.00;3577.00;641.90
B;000030119;99;326.00;30738.00;1173.02
B;000030398;100;335.00;28545.00;1715.96
B;000030399;100;328.00;1621.00;506.39
B;000030407;100;326.00;3351.00;559.06
B;000030410;98;262.00;25592.00;1168.12
B;000030689;100;334.00;2535.00;543.50
B;000030697;100;331.00;3041.00;553.27
B;000030700;100;328.00;3041.00;582.41
B;000030702;100;332.00;2546.00;530.14
B;000030708;100;329.00;2870.00;567.13
B;000030709;100;328.00;25866.00;1083.64
B;000030928;100;328.00;3419.00;514.86
B;000030930;100;328.00;3327.00;517.82
B;000030933;100;326.00;25529.00;1100.82
B;000030935;102;328.00;40209.00;939.43
B;000031063;101;330.00;27102.00;1088.37
B;000031066;101;327.00;8119.00;846.08
B;000031069;100;332.00;3491.00;617.55
B;000031072;100;333.00;25811.00;1116.20
B;000031411;100;314.00;4177.00;623.84
B;000031414;102;242.00;28745.00;1671.62
B;000031419;100;310.00;2787.00;596.10
B;000031426;100;360.00;15997.00;975.48
B;000031785;100;330.00;199648.00;4540.42
B;000031789;100;315.00;2739.00;570.08
B;000031793;101;318.00;57466.00;1659.51
B;000031797;101;285.00;2158.00;472.37
B;000031805;100;310.00;26615.00;1184.33
B;000031809;100;297.00;2670.00;648.73
B;000031819;100;291.00;2297.00;481.61
B;000031823;100;297.00;25778.00;1357.50
B;000032107;101;275.00;3257.00;544.51
B;000032111;100;294.00;3317.00;651.83
B;000032113;100;285.00;28836.00;1288.21
B;000032117;100;291.00;2135.00;507.62
B;000032121;100;280.00;25760.00;1058.53
B;000032467;100;293.00;1779.00;440.46
B;000032471;100;292.00;2881.00;461.14
B;000032484;100;291.00;2877.00;489.36
B;000032702;100;308.00;199605.00;4353.09
B;000032705;100;299.00;4991.00;723.07
B;000032709;101;291.00;2500.00;499.99
B;000032711;100;298.00;25975.00;1044.47
B;000033061;100;282.00;25703.00;1121.50
B;000033064;99;307.00;2704.00;552.55
B;000033066;100;260.00;2907.00;535.59
B;000033068;100;282.00;2956.00;486.23
B;000033258;100;281.00;25032.00;1017.43
B;000033262;100;284.00;2922.00;603.13
B;000033264;100;280.00;2783.00;474.43
B;000033268;99;218.00;7904.00;649.67
B;000033580;98;285.00;56621.00;1634.35
B;000033588;99;284.00;204536.00;5208.25
B;000033593;100;284.00;3504.00;602.75
B;000033594;100;286.00;4025.00;692.52
B;000033598;99;270.00;205778.00;4822.53
B;000033864;101;294.00;57068.00;1656.67
B;000033868;100;294.00;3789.00;671.72
B;000033871;99;313.00;26490.00;1195.92
B;000033874;100;295.00;3014.00;503.58
B;000033878;100;287.00;26876.00;1034.60
B;000034288;102;303.00;200978.00;4487.36
B;000034295;103;298.00;2647.00;533.58
B;000034302;99;291.00;1808.00;446.88
B;000034306;100;270.00;2727.00;550.27
B;000034722;101;291.00;27063.00;1203.23
B;000034724;100;290.00;3418.00;561.75
B;000034731;100;304.00;27378.00;1157.18
B;000034940;100;299.00;26851.00;1142.41
B;000034946;98;233.00;3249.00;627.78
B;000034954;100;292.00;5546.00;740.59
B;000034961;100;305.00;5343.00;776.57
B;000034962;100;291.00;6267.00;765.92
B;000035258;100;287.00;3460.00;527.60
B;000035269;105;284.00;7998.00;659.69
B;000035283;100;285.00;3998.00;571.55
B;000035289;100;285.00;1199.00;442.56
B;000035746;101;285.00;25988.00;959.51
B;000035748;99;280.00;3175.00;599.97
B;000035751;56;286.00;2626.00;715.82
B;000035753;99;209.00;2869.00;570.42
B;000035756;100;292.00;2352.00;463.17
B;000035759;100;290.00;25314.00;927.29
B;000035762;44;289.00;2336.00;561.82
B;000036289;100;295.00;4691.00;705.52
B;000036292;100;277.00;1508.00;415.28
B;000036295;100;284.00;26069.00;919.15
B;000036302;100;287.00;2899.00;482.68
B;000036804;100;289.00;3141.00;548.82
B;000036808;100;296.00;25295.00;1007.14
B;000036811;100;287.00;2512.00;451.76
B;000036813;99;228.00;2641.00;412.25
B;000036817;100;284.00;8512.00;711.28
B;000036822;99;241.00;5762.00;614.67
B;000037013;100;288.00;2862.00;536.53
B;000037015;100;284.00;3692.00;516.30
B;000037019;100;284.00;2625.00;611.29
B;000037021;100;285.00;372303.00;7977.78
B;000037235;101;287.00;3459.00;584.23
B;000037237;100;291.00;39383.00;1551.83
B;000037240;99;285.00;2911.00;544.40
B;000037449;100;290.00;12541.00;1029.81
B;000037452;100;287.00;25821.00;991.09
B;000037461;100;290.00;4458.00;482.58
B;000037466;100;290.00;28773.00;1185.25
B;000037468;100;288.00;26691.00;1143.17
B;000037472;100;291.00;2272.00;587.95
B;000037793;100;293.00;2677.00;521.10
B;000037795;100;288.00;27865.00;962.46
B;000037798;100;287.00;229189.00;5103.46
B;000037799;100;277.00;26440.00;1044.73
B;000037802;56;292.00;3280.00;601.74
B;000037803;44;292.00;1625.00;481.80
B;000037929;100;290.00;2716.00;498.32
B;000037931;100;287.00;2869.00;512.69
B;000038643;100;287.00;3129.00;469.57
B;000038646;100;291.00;4141.00;486.80
B;000038651;100;288.00;27833.00;1156.47
B;000038654;100;290.00;2109.00;491.36
B;000038658;100;290.00;26026.00;1001.40
B;000038660;100;287.00;3444.00;451.01
B;000039044;100;289.00;2891.00;424.98
B;000039053;99;288.00;29479.00;1137.99
B;000039056;99;289.00;4389.00;469.46
B;000039058;100;288.00;2489.00;432.92
B;000039351;100;279.00;26005.00;1134.69
B;000039354;100;292.00;10595.00;906.88
B;000039357;100;294.00;6708.00;588.13
B;000039360;102;285.00;1762.00;458.36
B;000039368;100;291.00;4262.00;767.26
B;000039723;100;287.00;229372.00;5746.96
B;000039730;100;290.00;57401.00;1693.94
B;000039736;100;293.00;25164.00;1052.40
B;000039739;102;293.00;4003.00;592.75
B;000039743;100;292.00;27675.00;1067.73
B;000039944;101;284.00;2159.00;440.35
B;000039949;100;292.00;2698.00;567.08
B;000039951;100;291.00;26215.00;988.35
B;000040150;100;304.00;7868.00;561.53
B;000040153;100;292.00;2317.00;517.82
B;000040159;99;284.00;3756.00;447.42
B;000040161;100;292.00;2507.00;517.78
B;000040164;100;306.00;25722.00;992.44
B;000040166;101;309.00;21937.00;1002.16
B;000040618;100;282.00;3595.00;519.48
B;000040621;99;287.00;2820.00;552.32
B;000040623;100;298.00;199258.00;4473.93
B;000040628;100;303.00;3424.00;528.31
B;000040629;100;303.00;2700.00;488.72
B;000040847;98;287.00;1466.00;422.83
B;000040849;100;294.00;1773.00;476.24
B;000040851;100;302.00;25646.00;936.38
B;000040854;100;291.00;3715.00;449.14
B;000040857;103;286.00;56488.00;1560.41
B;000040861;102;279.00;229655.00;4942.54
B;000041524;101;289.00;2744.00;515.70
B;000041527;101;290.00;57021.00;1603.37
B;000041681;101;288.00;2840.00;507.32
B;000041683;100;294.00;2924.00;568.47
B;000041688;100;283.00;4790.00;597.05
B;000041860;100;286.00;2895.00;542.28
B;000041863;100;286.00;858.00;385.31
B;000042127;100;286.00;26269.00;983.88
B;000042130;100;281.00;57072.00;1728.75
B;000042132;101;291.00;285651.00;6131.94
B;000042485;99;295.00;9255.00;644.60
B;000042488;100;285.00;11732.00;700.28
B;000042493;100;286.00;58482.00;1557.50
B;000042498;100;290.00;4173.00;456.24
B;000042855;101;293.00;56275.00;1522.25
B;000042861;100;295.00;3720.00;482.60
B;000042864;99;293.00;1559.00;432.41
B;000043014;100;287.00;250724.00;5432.09
B;000043017;100;295.00;2027.00;403.63
B;000043093;100;288.00;1356.00;374.58
B;000043095;100;288.00;1967.00;418.85
B;000043674;100;296.00;2933.00;463.06
B;000043677;100;289.00;26339.00;945.98
B;000043680;101;278.00;25760.00;1220.17
B;000043682;100;289.00;3250.00;511.99
B;000043684;100;286.00;2545.00;458.54
B;000043687;100;301.00;3169.00;502.30
B;000043688;99;288.00;229981.00;5275.91
B;000043690;100;285.00;25060.00;1000.30
B;000044086;100;292.00;2509.00;407.14
B;000044088;100;290.00;1705.00;394.46
