-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 008419     Anzahl gefertigt: 87        MIN: 0T:0h:5m:16s        MAX: 0T:0h:55m:10s        AVG: 0T:0h:17m:2s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 19.54 %
FA: 008630     Anzahl gefertigt: 85        MIN: 0T:0h:5m:1s        MAX: 0T:0h:45m:40s        AVG: 0T:0h:7m:22s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.18 %
FA: 008631     Anzahl gefertigt: 81        MIN: 0T:0h:5m:3s        MAX: 0T:0h:32m:8s        AVG: 0T:0h:9m:22s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.94 %
FA: 008632     Anzahl gefertigt: 80        MIN: 0T:0h:4m:21s        MAX: 0T:0h:43m:52s        AVG: 0T:0h:10m:15s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 008633     Anzahl gefertigt: 73        MIN: 0T:0h:4m:26s        MAX: 0T:0h:51m:31s        AVG: 0T:0h:11m:30s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.48 %
FA: 008996     Anzahl gefertigt: 65        MIN: 0T:0h:4m:53s        MAX: 0T:0h:40m:38s        AVG: 0T:0h:9m:51s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 9.23 %
FA: 009004     Anzahl gefertigt: 84        MIN: 0T:0h:4m:57s        MAX: 0T:0h:34m:55s        AVG: 0T:0h:9m:45s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.95 %
FA: 009005     Anzahl gefertigt: 80        MIN: 0T:0h:4m:24s        MAX: 0T:0h:45m:9s        AVG: 0T:0h:12m:47s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 5.00 %
FA: 009006     Anzahl gefertigt: 78        MIN: 0T:0h:4m:38s        MAX: 0T:0h:40m:43s        AVG: 0T:0h:9m:55s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009182     Anzahl gefertigt: 79        MIN: 0T:0h:4m:47s        MAX: 0T:0h:25m:59s        AVG: 0T:0h:6m:38s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009183     Anzahl gefertigt: 78        MIN: 0T:0h:4m:41s        MAX: 0T:0h:36m:10s        AVG: 0T:0h:10m:19s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.56 %
