-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A
FA: 008419          MIN: 0T:0h:6m:47s        MAX: 0T:1h:12m:47s        AVG: 0T:0h:32m:42s      Ausschussfaktor: 19.54 %
FA: 008630          MIN: 0T:0h:10m:7s        MAX: 0T:0h:10m:7s        AVG: 0T:0h:10m:7s      Ausschussfaktor: 1.18 %
FA: 008631          MIN: 0T:0h:43m:19s        MAX: 0T:1h:7m:23s        AVG: 0T:0h:55m:33s      Ausschussfaktor: 4.94 %
FA: 008632          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 008633          MIN: 0T:0h:6m:22s        MAX: 0T:1h:11m:45s        AVG: 0T:0h:24m:18s      Ausschussfaktor: 5.48 %
FA: 008996          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 6.00 %
FA: 009004          MIN: 0T:0h:11m:11s        MAX: 0T:0h:26m:12s        AVG: 0T:0h:16m:14s      Ausschussfaktor: 5.95 %
FA: 009005          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 4.00 %
FA: 009006          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009182          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009183          MIN: 0T:2h:6m:28s        MAX: 0T:2h:6m:28s        AVG: 0T:2h:6m:28s      Ausschussfaktor: 2.56 %
FA: 009184          MIN: 0T:0h:12m:41s        MAX: 0T:8h:4m:25s        AVG: 0T:3h:30m:40s      Ausschussfaktor: 7.50 %
FA: 009185          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 009280          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009281          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009282          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 009283          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009284          MIN: 0T:1h:30m:26s        MAX: 0T:3h:34m:42s        AVG: 0T:2h:32m:34s      Ausschussfaktor: 5.00 %
FA: 009285          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009286          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009287          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 009472          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009473          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 009474          MIN: 0T:0h:14m:37s        MAX: 0T:7h:2m:56s        AVG: 0T:2h:1m:29s      Ausschussfaktor: 6.33 %
FA: 009475          MIN: 0T:0h:5m:47s        MAX: 0T:1h:28m:36s        AVG: 0T:0h:47m:56s      Ausschussfaktor: 17.50 %
FA: 009574          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 2.00 %
FA: 009575          MIN: 0T:1h:46m:20s        MAX: 0T:1h:46m:20s        AVG: 0T:1h:46m:20s      Ausschussfaktor: 3.75 %
FA: 009576          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: B
FA: 005712          MIN: 0T:0h:39m:36s        MAX: 0T:0h:39m:36s        AVG: 0T:0h:39m:36s      Ausschussfaktor: 2.27 %
FA: 005713          MIN: 0T:0h:18m:46s        MAX: 0T:0h:56m:29s        AVG: 0T:0h:35m:59s      Ausschussfaktor: 3.00 %
FA: 005714          MIN: 0T:0h:59m:28s        MAX: 0T:2h:14m:44s        AVG: 0T:1h:34m:27s      Ausschussfaktor: 5.00 %
FA: 005715          MIN: 0T:0h:23m:59s        MAX: 0T:0h:38m:17s        AVG: 0T:0h:31m:8s      Ausschussfaktor: 4.00 %
FA: 005716          MIN: 0T:0h:31m:43s        MAX: 0T:0h:31m:43s        AVG: 0T:0h:31m:43s      Ausschussfaktor: 2.97 %
