TEIL;MAX;MIN;AVG;FAILURE
TEIL:A;29065.0;347.0;4337.195652173913;0.03668903803131991
TEIL:B;2511537.0;198.0;16785.34276206323;0.025044481587318704
TEIL:C;700079.0;49.0;14228.103678929765;0.00729809928622985
TEIL:D;322808.0;196.0;6341.390070921986;0.014815803523758676
TEIL:E;4235024.0;221.0;44829.39166666667;0.006471543849370156
TEIL:F;256550.0;181.0;8317.714285714286;0.005057933988800289
TEIL:G;462658.0;23.0;9515.85393258427;0.0077779267802065176
TEIL:H;360901.0;213.0;11226.621527777777;0.012034383954154728
TEIL:I;59542.0;26.0;3060.378504672897;0.008530488119169115
TEIL:K;321098.0;230.0;13559.07182320442;0.01556231657736733
