Hinweise:

Anzahl gefertigt = Anzahl der Stücke (SNR), welche erfolgreich durch die Maschine (Output vorhanden) gelaufen sind - doppelte SNR im zählen nur einfach
MIN - minimale Fertigungszeit (Input DS - letzer Output zu Input DS)
MAX - maximale Fertigungszeit (Input DS - letzer Output zu Input DS)
AVG - durchschnittliche Fertigungszeit (alle Fertigungszeiten addiert, dividiert durch Anzahl der verwendeten Input DS)
MIN_FAIL - minimaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
MAX_FAIL - maximaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
AVG_FAIL - durchschnittlicher Ausschuss (Anzahl aller Ausschüsse addiert, dividiert durch Anzahl gefertigt) - in den Daten habe ich vergessen mit 100 zu multiplizieren oder % weg

Es treten noch sehr selten negative Werte im MIN auf. Habe den Fehler aber noch nicht gefunden. 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 008419     Anzahl gefertigt: 87        MIN: 4.90 min        MAX: 59.47 min        AVG: 32.54 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.20 %
FA: 008630     Anzahl gefertigt: 85        MIN: 5.02 min        MAX: 45.67 min        AVG: 8.21 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 008631     Anzahl gefertigt: 81        MIN: 5.05 min        MAX: 32.13 min        AVG: 9.37 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
FA: 008632     Anzahl gefertigt: 80        MIN: 4.35 min        MAX: 43.87 min        AVG: 18.12 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 008633     Anzahl gefertigt: 73        MIN: 4.43 min        MAX: 51.52 min        AVG: 18.49 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
FA: 008996     Anzahl gefertigt: 65        MIN: 4.88 min        MAX: 40.63 min        AVG: 9.85 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.09 %
FA: 009004     Anzahl gefertigt: 84        MIN: 4.95 min        MAX: 34.92 min        AVG: 10.54 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.06 %
FA: 009005     Anzahl gefertigt: 80        MIN: 4.40 min        MAX: 45.15 min        AVG: 13.53 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
FA: 009006     Anzahl gefertigt: 78        MIN: 4.63 min        MAX: 40.72 min        AVG: 10.62 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009182     Anzahl gefertigt: 79        MIN: 4.78 min        MAX: 25.98 min        AVG: 7.37 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009183     Anzahl gefertigt: 78        MIN: 4.68 min        MAX: 36.17 min        AVG: 14.74 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 009184     Anzahl gefertigt: 80        MIN: 4.72 min        MAX: 37.45 min        AVG: 14.25 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.07 %
FA: 009185     Anzahl gefertigt: 80        MIN: 4.78 min        MAX: 18.70 min        AVG: 7.24 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 009280     Anzahl gefertigt: 80        MIN: 4.62 min        MAX: 17.53 min        AVG: 11.88 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009281     Anzahl gefertigt: 83        MIN: 4.03 min        MAX: 24.78 min        AVG: 8.18 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009282     Anzahl gefertigt: 80        MIN: 4.22 min        MAX: 31.43 min        AVG: 8.89 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 009283     Anzahl gefertigt: 80        MIN: 4.23 min        MAX: 52.20 min        AVG: 13.67 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 009284     Anzahl gefertigt: 80        MIN: 4.43 min        MAX: 59.92 min        AVG: 12.80 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
